a	det. 一
escort	n. 护卫队，护航部队\nv. 护送
esophagus	n. 食管
esoteric	adj. 秘传的
especial	adj. 特别的，专门的，亲近的
especially	adv. 特别地，专门地
espionage	n. 间谍行为
espouse	v. 娶，信奉
espy	v. 看出，窥见
essay	n. 散文，论文，小品文，尝试，论说文
essayist	n. 散文作家
essence	n. 本质，情髓，香精，本体
essential	n. 基本必要的东西\nadj. 必需的，本质的，精髓的
essentially	adj. 本质上，实质上
establish	v. 建立，设立，确立，安置
established	adj. 已建立的
establishment	n. 建立，组织
estate	n. 房地产，财产，地产
esteem	n. 尊重，价值，看法\nv. 把...看作，尊重
esthetic	adj. 美学的
estimable	adj. 可估计的，有价值的
estimate	n. 估算，预算，估计，看法\nv. 估计
estimation	n. 估算，估计，看法，判断
estrange	v. 使隔离，使疏远
estuary	n. 港湾，入海口
etc	n. 等等
etc.	(缩)等等
etcetera	n. 等等，等等之人
etch	n. 蚀刻，蚀刻剂\nv. 铭刻，蚀刻
eternal	n. 上帝\nadj. 永恒的，无休止的，永久的
eternity	n. 不朽，永恒
ethereal	adj. 太空的，精微的，飘渺的
ethical	n. 凭医师处方出售的药物\nadj. 道德的，伦理的
ethics	n. 伦理学，行为准则
ethnic	adj. 异教徒的，种族的
etiquette	n. 道德规范，礼节
etymology	n. 阐述词源，同源学
eucharist	n. 感恩祭，圣餐
eugenics	n. 优生学
eulogize	v. 称赞
eulogy	n. 称颂，颂词
euphemism	n. 委婉说法
euphony	n. 变音倾向
euphoria	n. 异常愉快
europe	n. 欧洲，欧罗巴洲
european	n. 白人，欧洲人\nadj. 欧洲人(的)，欧洲的
euthanasia	n. 安乐死术，安然去世
evacuate	v. 撤离，撤退
evade	v. 回避，逃脱
evaluate	v. 估价，评价，对...评价
evaluation	n. 估价，评价，赋值，估算
evaporate	v. 蒸发，脱水，消失
evaporation	n. 蒸发，升华
evasion	n. 躲避，逃避手段
evasive	adj. 逃避的
eve	n. 前夕，前夜，傍晚
even	v. 使平衡，使平坦\nadj. 平坦的，均匀的，平的\nadv. 甚至，完全
evening	n. 傍晚，晚上，后期
evenly	adv. 平坦地，均匀地
event	n. 事件，场合，比赛，结果
eventful	adj. 多事的，重大的
eventual	adj. 有可能的，结局的
eventually	adv. 最终，终于
ever	adv. 曾经，总是，究竟
everlasting	adj. 永久的，持久的
evermore	adv. 将来，肯定，永远
every	adj. 每个，所有的\ndet. 每一个
everybody	pron. 人人，每人
everyday	adj. 每日的，日常的，每天的
everyone	pron. 人人，每人
everything	pron. 事事，一切，每件事
everywhere	pron. 每一处\nadv. 处处，到处
evict	v. 驱逐，追回
evidence	n. 证据，迹象，根据\nv. 显示，证明
evident	adj. 明显的，明白的
evidently	adv. 明显地，显然
evil	n. 坏事，祸害\nadj. 坏的，邪恶的，讨厌的
evince	v. 表明，引起
evoke	v. 唤起，使再现
evolution	n. 演变，逐步形成\nv. 发展，渐进，进化
evolve	v. 发展，进化，释放，演化
ewe	n. 母羊
ewer	n. 大口水壶
ex	prep. 在...交货
exact	v. 索取，要求\nadj. 精确的，精密的
exaction	n. 强索，强索之物
exactitude	n. 严格，正确
exactly	adv. 确切地，正是，精确地，正
exaggerate	v. 夸张，夸大，使增大
exaggerated	adj. 言过其辞的
exaggeration	n. 夸张
exalt	v. 抬高，发扬，颂扬，提升
exaltation	n. 晋升，升高，得意
exalted	adj. 高贵的，得意的
exam	n. 考试
examination	n. 检查，考试
examine	v. 检查，细看，考试，查讯
example	n. 例子，榜样，范例，例题
exasperate	v. 激怒，恶化，使加剧\nadj. 被激怒的，糙面的
exasperation	n. 愤慨，加剧
excavate	v. 发掘，挖出
excavator	n. 开凿者，挖土机
exceed	v. 超过，过度，越出
exceedingly	adv. 非常，极端地
excel	v. 胜过，优于，突出
excellence	n. 优秀，卓越
excellency	n. 阁下，优点
excellent	adj. 优秀的，卓越的，非常的，较高的
except	v. 除外，把...除外，反对\nconj. 除非，除了\nprep. 除...外
exception	n. 除外，例外，异议
exceptional	adj. 异常的，例外的
excerpt	n. 摘录\nv. 摘，作摘录
excess	n. 过量，过剩，超越
excessive	adj. 过分的，极度的，过多的
exchange	n. 交易，交换，交火\nv. 交换，兑换，换
excise	n. 消费税\nv. 向...索高价，切除
excitable	adj. 应激的
excitation	n. 刺激，激感
excite	v. 刺激，使兴奋，引起
excited	adj. 兴奋的
excitement	n. 兴奋，激动，刺激
exciting	adj. 令人激动的
exclaim	v. 呼喊，感叹，大声说出
exclamation	n. 呼喊，感叹
exclude	v. 排除，拒绝考虑，不让...进入，赶出
exclusion	n. 排除，排斥
exclusive	n. 独家新闻，孤傲的人\nadj. 独有的，排斥的
exclusively	adv. 独占地
exclusivity	n. 独家经营权
excrement	n. 排泄物
excrete	v. 排泄
exculpate	v. 开脱
excursion	n. 短途游览，离题，远足
excusable	adj. 可原谅的
excuse	n. 借口，藉口，歉意\nv. 原谅，为...辩解
execrable	adj. 恶劣的，该咒骂的
execrate	v. 憎恶，咒骂
execute	v. 执行，实施，处决，实行，作成，处死
execution	n. 执行，处决，实行，制作
executive	n. 执行者，行政部门\nadj. 执行的，有办事能力的
executor	n. 执行者
exemplary	adj. 模范的，示范的
exemplify	v. 举例说明，例示，誊写
exempt	n. 被免除的人\nv. 免除\nadj. 被免除
exercise	n. 锻炼，练习，运用，履行，运动\nv. 履行，训练
exercise-book	n. 练习簿
exert	v. 尽(力)，发挥，用，运用
exertion	n. 尽力，竭力
exeunt	v. 退场
exhale	v. 呼，呼气
exhaust	n. 废气，排出\nv. 竭尽，用完，排出气体
exhausted	adj. 精疲力竭的
exhaustion	n. 用尽，详述
exhaustive	adj. 详尽的，消耗的，完全的
exhibit	n. 展览品\nv. 展出,显示
exhibition	n. 展览会，表现，展览
exhilarate	v. 使高兴，使兴奋
exhort	v. 敦促，恳请
exhume	v. 发掘，掘出
exigency	n. 急事，紧急
exile	n. 流亡者，被流放者，流放\nv. 放逐，流放
exist	v. 存在，生存，发生
existence	n. 存在，生存，发生
existing	adj. 现存的，已有的
exit	n. 出口，安全门，离开，出去\nv. 离开，出去
exodus	n. 成群外出，出去
exonerate	v. 昭雪，解除，免除，证明...无罪
exoneration	n. 免罪，免除
exorbitant	adj. 过高的
exotic	n. 外国人，外来词\nadj. 奇异的，外来的
expand	v. 扩张，膨胀，扩充，扩大，张开
expansion	n. 扩张，扩大，膨胀
expansive	adj. 广阔的，扩大的，开朗的
expatiate	v. 漫游，细说
expatriate	n. 移居国外者\nv. 移居国外\nadj. 移居国外的
expect	v. 盼望，期待，预料，等待，预计
expectancy	n. 期待，预期数额
expectant	n. 期待者\nadj. 怀孕的，期待的
expectation	v. 期待，前程
expedience	n. 便利，权宜之计
expedient	n. 权宜之计\nadj. 方便的，临时的，得当的
expedite	v. 加快，急送，发出，迅速执行
expedition	n. 探险，考察队，出征，旅行
expel	v. 驱逐，开除，排出
expend	v. 花费，消耗，用光
expenditure	n. 支出，费用
expense	n. 支出，开支，花钱，价钱
expensive	adj. 昂贵的，高价的，滥花钱的
experience	n. 经历，经验\nv. 经历，经验
experienced	adj. 有经验的
experiment	n. 实验\nv. 实验，试验，进行实验
experimental	adj. 实验的
experimentation	n. 实验
expert	n. 专家，能手，特等射手\nadj. 熟练的
expertise	n. 专家队伍(总称)，专家鉴定，专门知识
expiate	v. 避免，抵偿
expiration	n. 期满，呼出，满期
expire	n. 死亡\nv. 到期，断气，发出，呼出，中止
expiry	n. 逾期
explain	v. 解释，说明，讲解
explanation	n. 说明，解释
explanatory	adj. 说明的
explicate	v. 解释，引申
explicit	adj. 清楚的，明晰的，详述的，直言的
explicitly	adv. 清晰地
explode	v. 爆炸，激增，爆发
exploit	n. 业绩\nv. 开发，利用，剥削
exploitation	n. 开发，利用
exploration	n. 勘探，考察
explore	v. 勘探，考察，仔细查阅
explorer	n. 勘探者，探险家，勘探器
explosion	n. 爆炸，爆发，激增
explosive	n. 炸药，爆发音\nadj. 爆炸性的，暴躁的，爆炸的
exponent	n. 阐述者，例子，代表
export	n. 输出，出口，出口物\nv. 出口
exportation	n. 出口
exporter	n. 出口商
expose	n. 暴露，阐述\nv. 暴露，揭露，陈列，使处于
exposition	n. 展览会，说明，阐述
exposure	n. 揭露，曝光，暴露
expound	v. 提出，详述
express	n. 快车，捷运公司\nv. 表达，快递，表示\nadj. 明确的，专门的\nadv. 特意地，用快递
expression	n. 表达，措辞，表情，表示
expressive	adj. 有表现力的，表现的，有意义的
expressly	adj. 明确表示的
expressway	n. 高速公路
expulsion	n. 呼出，驱逐
expunge	v. 擦去，除去
expurgate	v. 删除
exquisite	n. 服饰过于讲究的男子\nadj. 精致的，精美的
extant	adj. 突出的，现存的
extend	v. 延伸，扩大，给予，扩展，伸
extension	n. 延伸，电话分机，范围，伸出
extensive	adj. 广泛的，密集的，广阔的，大量的
extensively	adv. 广泛地
extent	n. 范围，限度，一大片，广度
extenuate	v. 低估，减轻
exterior	n. 外部(的)，户外场景，外部\nadj. 对外的，外部的
external	n. 外表，外面\nadj. 外部的，对外的，外表的，外面的
extinct	adj. 绝灭的，熄灭的，灭绝的，熄灭了的
extinction	n. 绝灭，熄灭
extinguish	v. 扑灭，熄灯，毁灭，熄灭
extirpate	v. 灭绝，摘除
extol	v. 颂扬
extort	v. 敲诈，侵占
extortion	n. 勒索钱财，敲诈
extra	n. 号外\nadj. 额外的，外加的，特佳的\nadv. 额外地，特别地
extract	n. 浸出物，摘录\nv. 取出，榨出，摘录，采掘
extraction	n. 出身，摘要，拔出，血统
extradite	v. 引渡
extraneous	adj. 额外的，体外的
extraordinary	n. 特别的，格外的
extravagance	n. 奢侈，浪费
extravagant	adj. 奢侈的，浪费的
extreme	n. 极度，极端\nadj. 极度的，极端的，极大的
extremely	adv. 极其，非常
extremist	n. 走极端者\nadj. 极端主义者的
extremity	n. 极点，绝境
extricate	v. 使摆脱，使游离
extrinsic	adj. 外赋的，外在的
exuberant	adj. 丰富的，茂盛的
exude	v. 散发，发散
exult	v. 狂喜，跃起
eye	n. 眼睛，孔眼，视力，目光\nv. 看，考虑
eyeball	n. 眼球\nv. 注视
eyebrow	n. 眉毛，窗头线，眉
eyeglass	n. 眼镜
eyelash	n. 睫
eyelet	n. 视孔，圆孔眼
eyelid	n. 眼睑，睑
eyesight	n. 视力，观看
eyesore	n. 丑东西，刺眼物
eyewitness	n. 目击者
fable	n. 寓言，传说\nv. 讲，虚构
fabric	n. 织物，结构，组织，构造
fabricate	v. 制作，捏造，创造，建造
fabrication	n. 制作，虚构
fabulous	adj. 惊人的，寓言的
facade	n. 表面，正面
face	n. 脸，正面，表面\nv. 面对，面朝，朝
facet	n. 面，小眼面
facetious	adj. 好开玩笑的
facial	n. 面部按摩\nadj. 表面的，面部的
facile	adj. 敏捷的，易做到的
facilitate	v. 使便利，使容易，帮助，促进
facility	n. 方便，设施，便利，容易，设备，技能
facsimile	n. 电传真，摹本
fact	n. 事实，真相，细节
faction	n. 宗派，派别，一帮人
factor	n. 因素，因数，要素，系数\nv. 代理经营，做代理商
factorship	n. 代理人身份
factory	n. 工厂，制造厂，代理商行
faculty	n. 本领，学系，官能，系
fad	n. 古怪念头，狂热
fade	v. 褪色，枯萎，凋谢，褪去
faeces	n. 残渣，粪便
fag	n. 奴仆，香烟\nv. 磨损，辛劳
fahrenheit	n. 华氏温度计\nadj. 华氏(的)，华氏温度计的
fail	n. 不及格，交割失信\nv. 失败，不及格，不能，不，缺乏
failing	adj. 缺点
failure	n. 失败，疏忽，破产，缺乏
faint	n. 昏厥\nv. 变得微弱，昏厥\nadj. 软弱的，模糊的，微小的，无力的
fair	n. 交易会，美，女人\nadj. 公平的，公正的\nadv. 公正地，正面地
fairly	adj. 公平地，相当
fairy	n. 妖精，仙女，仙人，众仙子
faith	n. 信任，信念，信条
faithful	n. 忠实信徒，虔诚徒众\nadj. 忠诚的，可靠的，尽职的，忠实的
faithfully	adv. 忠诚地
faithless	adj. 不可靠的，无信仰的
fake	n. 冒牌货，假货，骗子\nv. 伪造，伪装\nadj. 冒片的，假的
falcon	n. 猎鹰，隼
fall	n. 瀑布，降落，落下\nv. 落下，跌倒，砍倒
fallacious	adj. 谬误的，骗人的
fallacy	n. 不可靠性，谬论
fallible	adj. 容易弄错的
fallow	n. 休闲，休闲地\nv. 使休闲\nadj. 潜伏着的，未孕的
false	adj. 假的，假造的，不诚实的，不正确的
falsify	v. 篡改，歪曲
falter	n. 颤抖，动摇\nv. 颤抖，动摇
fame	n. 名声，声誉，传闻
familiar	n. 常客，知交\nadj. 熟悉的，亲近的
familiarity	n. 熟悉，相似
family	n. 家庭，家属，户，家
famine	n. 饥荒，饥饿
famish	v. 挨饿，饿死
famous	adj. 著名的，第一流的
fan	n. 扇子，...迷，螺旋桨\nv. 扇
fanatic	n. 狂热者，入迷的\nadj. 狂热的，入迷的
fanciful	adj. 爱空想的，空想的
fancy	n. 幻想，爱好，任性，设想\nv. 想象，相信\nadj. 别致的，特级的
fang	n. 尖牙，牙齿
fantastic	n. 古怪的人\nadj. 奇异的，荒谬的
fantasy	n. 幻想作品，想象\nv. 想象，奏幻想曲
far	adj. 遥远的，较远的，远的\nadv. 远
faraway	adj. 恍惚的，遥远的
farce	n. 滑稽，闹剧
fare	n. 车费，乘客\nv. 饮食，吃，过活
farewell	adj. 告别的\nint. 再见
farm	n. 农场，农庄，饲养场\nv. 耕作，种植
farmer	n. 农夫，农场主，包税人，农民
farmhand	n. 农工，农场工人
farmhouse	n. 农舍
farming	n. 农业，种植业
farmyard	n. 农家场院
farther	adv. 较远，更进一步，此外，更远地\nfar的比较级
fascinate	v. 吸引，入迷，蛊惑，有吸引力
fascination	n. 入迷
fascism	n. 法西斯，意大利法西斯主义
fascist	n. 法西斯分子\nadj. 法西斯主义的
fashion	n. 方式，时髦，时装，上流社会\nv. 改变，制作
fashionable	adj. 流行的，时髦的
fast	n. 禁食，禁食期\nv. 节制饮食，禁食\nadj. 快的\nadv. 快
fasten	v. 捆紧，钉牢，集中，强加
fastener	n. 结扎者，紧固物
fastidious	adj. 难讨好的
fat	n. 脂肪，肥肉\nadj. 肥胖的，育肥的
fatal	adj. 致命的，重大的
fatalism	n. 宿命论
fatality	n. 命运，死亡者
fate	n. 命运，厄运，宿命，天命
father	n. 父亲，神父，始祖，父\nv. 生
father-in-law	n. 岳父，公公
fatherly	adj. 父亲般的，父亲的\nadv. 父亲般地
fathom	n. 理解力，拓\nv. 领会，推测，理解，测深
fatigue	n. 疲劳\nv. (使)疲劳，使疲劳，疲劳
fatten	v. 育肥，长肥
fatuous	adj. 痴呆的，虚幻的，昏庸的
fault	n. 缺点，过失，断层，错误\nv. 产生断层，犯错误
faultless	adj. 完美的，无错误的
faulty	adj. 有缺点的，有错误的
fauna	n. 动物群，动物志
favor|favour	n. 帮助，偏爱，得宠，恩惠\nv. 宠爱，赐与，喜爱
favourable|favorable	adj. 赞成的，有利的，称赞的
favourably|favorably	adv. 有利地，顺利地
favourite|favorite	n. 受宠的人\nadj. 最喜爱的人或物，特别受喜爱的
fawn	n. 阿谀，幼鹿\nv. 奉承，生\nadj. 鹿毛色的
fax	n. 传真机，事实\nv. 传真传输
fbi	國際刑警
fear	n. 害怕，可能性\nv. 害怕，担忧，恐怕
fearful	adj. 可怕的，吓人的，担心的，惧怕的
fearless	adj. 毫不畏惧的，不怕的
feasibility	n. 可行性
feasible	adj. 可行的，做得到的，可能的
feast	n. 节日，盛宴\nv. 宴会，宴请，设宴招待，参加宴会
feat	n. 功绩，武艺\nadj. 合适的，灵巧的
feather	n. 羽毛，禽类，羽\nv. 长羽毛，呈羽状
feature	n. 相貌，特征，特写，脸型，面貌\nv. 是...的特色，以...为特色
febrile	adj. 热性的
february	n. 二月
feckless	adj. 无目标无计划的
federal	n. 联邦制拥护者\nadj. 联邦的，联合的
federalism	n. 联邦主义
federation	n. 联邦，结成同盟，同盟
fee	n. 费用，酬金，采邑，费
feeble	adj. 虚弱的，无力的，弱的，无效的
feed	n. 饲料，喂食\nv. 喂养，吃东西，维持，喂
feedback	n. 反馈，噪声
feel	n. 触，触觉\nv. 感到，摸，意识到，触，发觉
feeling	n. 知觉，感觉，感情
feign	v. 假装，捏造
feint	n. 佯攻，假装
felicitate	v. 使快乐，向...致贺\nadj. 得福的
felicitous	adj. 恰当的
felicity	n. 快乐，恰当
feline	n. 猫科动物\nadj. 猫科动物的
fell	n. 折缝，山\nv. 砍到，缝，击倒\nadj. 残暴的，剧痛的\nfall的过去式
fellow	n. 家伙，同事，男人，人
fellowship	n. 交情，会员资格，共同参与，团体
felon	n. 坏人，瘭疽\nadj. 卑劣的，凶恶的
felony	n. 重罪
female	n. 雌性动物，女子\nadj. 女性的，雌的，女的
feminine	n. 女性，阴性\nadj. 女性的，妇女的，娇柔的
feminism	n. 女性的品质
feminist	n. 男女平等主义者
fen	n. 沼，分
fence	n. 围栏，篱笆，防护装置，栅栏\nv. 防护，拦开
fend	n. 自给的努力\nv. 保护，抵挡
fender	n. 挡泥板，防御物
ferment	n. 发酵，激动\nv. 酝酿，发酵
ferocious	adj. 凶猛的，野蛮的，可怕的，凶恶的
ferocity	n. 凶恶
ferris	v. 搜寻
ferrous	adj. 铁的，含铁的，亚铁的
ferry	n. 渡船，摆渡\nv. 渡运，渡过
ferryboat	n. 渡船
fertile	adj. 肥沃，多产的，肥沃的，丰富的
fertility	n. 肥沃，丰富
fertilize	v. 施肥于，使肥沃，使受精
fertilizer	n. 肥料，化肥
fervent	adj. 强烈的，热烈的，炽热的，热情的
fervour	n. 炽热，热情
fester	n. 浅溃疡\nv. 化脓，溃烂
festival	n. 节日，活动节期\nadj. 喜庆的，节日的
festive	adj. 欢乐的，节日的
festivity	n. 欢庆，节日
fetch	n. 拿，灵魂\nv. 去取来，去请来，拿来，请来
fete	n. 节日\nv. 盛宴招待
fetid	adj. 恶臭的
fetter	n. 脚镣\nv. 为...上脚镣
feud	n. 纠纷，封地
feudal	adj. 封建的，世仇的，封地的
feudalism	n. 封建主义
fever	n. 发烧，狂热，发热，热病
feverish	adj. 热病的
few	n. 少数\npron. 很少数，少数\nadj. 少的，很少的，有些
fiance	n. 未婚夫
fiancee	n. 未婚妻
fiasco	n. 完全失败，长颈瓶
fiat	n. 决断，命令
fiber	n. 纤维，质地
fibre	n. 纤维，纤维物质
fickle	adj. 易变的
fiction	n. 小说，虚构
fictional	adj. 虚构的
fictitious	adj. 小说的，虚构的
fiddle	n. 提琴，餐具框，小提琴\nv. 浪费，胡来
fidelity	n. 尽职，精确
fidget	n. 烦躁状态\nv. 摆弄，坐立不安
field	n. 田野，战场，场，场地，田\nv. 接，派...上场
fiend	n. 魔鬼
fierce	adj. 凶猛的，猛烈的，狂热的
fiery	adj. 火的，含火的，激烈的
fifteen	n. 第十五，十五\nnum. 十五
fifteenth	n. 第十五，第十五日
fifth	n. 第五，第五日\nnum. 第五，五分之一
fiftieth	n. 第五十
fifty	n. 第五十，五十\nnum. 五十
fig	n. 无花果
fight	n. 战斗，争吵\nv. 打仗，战斗，作斗争，打，奋斗
fighter	n. 战士，好斗者
figment	n. 臆造的事物
figurative	adj. 比喻的，修饰的，象征的
figure	n. 数字，图形，人物，价格\nv. 计算，出现
figured	adj. 有花纹的，有形状的
filament	n. 长丝，灯丝
filch	v. 偷
file	n. 档案，纵列，锉刀，文件夹\nv. 发送，锉
filial	adj. 子代的，子女的
filing	n. 档案管理
fill	n. 充分，装填物\nv. 装满，充满，补缺，挤满
fillet	n. 带子，饰线\nv. 把...切成片，用带缚
filling	n. 充填物，馅
film	n. 胶片，电影，薄膜，薄层\nv. 拍摄，拍摄电影
filmstrip	n. 幻灯片
filmy	adj. 极薄的，透明的
filter	n. 滤器，去尘器\nv. 过滤，滤出
filth	n. 污秽，污物，肮脏，秽亵
filthy	adj. 污秽的，肮脏的，卑劣的
fin	n. 终，鳍，翼
final	n. 决赛，期终考试\nadj. 最终的，决定性的，最后的
finale	n. 结尾，终场
finalist	n. 终极目的论者
finality	n. 目的论，终结
finalize	v. 落实，定下来，完成
finally	adv. 最终，终于
finance	n. 金融，财源，财政\nv. 资助，供资金给，赊销
financial	adj. 金融的，财政的
financier	n. 金融家，理财家\nv. 诈骗
financing	n. 金融业，财政学
find	n. 发现，发现物\nv. 寻找，找到，发现，找出
finding	n. 发现，发现物
fine	n. 罚金，租费\nv. 使纯，变纯\nadj. 好的，精细的，快的，美好的\nadv. 很，细小地
finely	adv. 敏锐地，雅致的
finery	n. 优美，精炼炉
finesse	n. 飞牌，手腕，技巧\nv. 用...飞，飞牌
finger	n. 手指，指状物\nv. 指出，伸出
finicky	adj. 过分讲究的
finish	n. 结束，抛光\nv. 结束，用完
finished	adj. 制成的
finite	n. 有限\nadj. 有限的，限定的
fiord	n. 峡湾
fir	n. 裘皮
fire	n. 火，火灾，电炉\nv. 开火，烧制，发热
fire-engine	n. 消防车
firearm	n. 火器
firebrand	n. 煽动叛乱者
firedamp	n. 沼气
fireman	n. 消防队员，爆破工，司炉工
fireplace	n. 壁炉
fireproof	v. 使防火\nadj. 防火的
fireside	n. 家，家庭，壁炉边
firework	n. 焰火，烟火具，炫示
firing	n. 焙烧，烧毁
firm	n. 商号，工作小组\nv. 确认，变硬\nadj. 坚固的，坚定的
firmament	n. 基础，天
firmly	adv. 坚定地，坚固地
firmness	n. 坚定，坚固
first	adj. 第一的，基本的\nadv. 首先，宁可，先
first-rate	adj. 第一流的
firsthand	adj. 第一手的\nadv. 第一手得来地
firstname	n. 名
fiscal	adj. 财务的，国库的
fish	n. 鱼，鱼肉\nv. 捞取，探听，捕，捕鱼
fisherman	n. 渔夫，渔船，渔民
fishery	n. 渔业
fishmonger	n. 鱼贩
fishy	adj. 可疑的，鱼的
fission	n. 裂变，分裂\nv. 使裂变，裂变
fissure	n. 分歧，裂缝\nv. 裂开
fist	n. 拳头，拳，手\nv. 把...握成拳，拳打
fit	n. 合身，配合\nv. 配合，适合\nadj. 适合的，健康的
fitful	adj. 不安定的
fitness	n. 适合，健康，合格
fitter	n. 试衣匠，装配工\nfit的比较级
fitting	adj. 适当的
five	n. 五\nnum. 五
fix	n. 方位，困境\nv. 固定，确定，修理，定居
fixed	adj. 固定的，已确定的
fixture	n. 固定物，固定装置，固定，装备
flabby	adj. 不结实的，软弱的
flaccid	adj. 软弱的，萎蔫的
flag	n. 旗，小旗\nv. 变慢，变弱
flagon	n. 酒壶
flagrant	adj. 燃烧着的
flagship	n. 旗舰，头号
flagstaff	n. 旗杆
flail	v. 胡乱摆动
flair	n. 爱好，天赋
flake	n. 片，片状物，小薄片，玉米片\nv. 削，离开
flamboyant	n. 凤凰木\nadj. 浮夸的，火焰式的
flame	n. 火焰，热情，光辉\nv. 变热，发光
flammable	adj. 易燃的
flange	n. 凸缘，翼缘\nv. 给...装凸缘，作凸缘
flank	n. 侧面，胁腹，狭长肉条，胁\nv. 侧面相接
flannel	n. 法兰绒\nv. 奉承，言行虚伪\nadj. 法兰绒制的
flap	n. 垂下物，拍打，飘动\nv. 拍打，振
flare	n. 闪烁，旺烧火，耀斑\nv. 炫耀，闪耀
flash	n. 闪光，闪亮\nv. 闪光，闪现，闪，飞驰
flashlight	n. 闪光，手电筒
flashy	adj. 暴躁的，闪光的，浮华的
flask	n. 瓶，烧瓶，热水瓶
flat	n. 平面，一层\nadj. 平的，平淡的，瘪的\nadv. 平直地，完全地
flatly	adv. 断然地，乏味地
flatten	v. 弄平，变平，击倒
flatter	v. 奉承，谄媚，胜过\nflat的比较级
flaunt	n. 夸耀，藐视\nv. 夸耀，藐视
flavor|flavour	n. 滋味，风趣，特点，味\nv. 给...调味
flaw	n. 裂缝，瑕疵，缺点，裂隙\nv. 使破裂，裂开
flax	n. 亚麻，亚麻纤维
flay	v. 剥...的皮，掠夺
flea	n. 蚤
fleck	n. 斑点，色斑\nv. 使有斑点
flee	v. 逃走，消散，逃离
fleece	n. 羊毛\nv. 剪下的毛，欺诈
fleet	n. 船队，海军\nadj. 短暂的，浅的
flesh	n. 肌肉，骨肉，果肉，肥胖，肉\nv. 长肉
fleshy	adj. 肉的
flex	n. 花线，屈曲\nv. 屈曲，折曲
flexibility	n. 柔韧，灵活性
flexible	adj. 柔韧的，灵活的，柔顺的
flextime	n. 弹性工作时间
flick	n. 轻打，污迹\nv. 弹去，轻打
flicker	n. 火星，摇曳\nv. 闪烁，颤动，瞥视
flier	n. 飞行员
flight	n. 飞，航班，逃走，飞翔，抽逃
flighty	adj. 轻浮的
flimsy	n. 薄纸\nadj. 浮夸的，轻而薄的
flinch	n. 弗林奇，退缩\nv. 缩，缩脚
fling	n. 猛冲，扔\nv. 抛，掷，丢下，扔
flint	n. 坚硬物，燧石\nv. 给...装上火石
flip	n. 急动，空翻\nv. 捻掷，翻\nadj. 无礼的
flippant	adj. 灵活的，轻率的
flirt	n. 调情者，急动\nv. 倏地扔，调情
flit	n. 迁移\nv. 迁移，掠过
float	n. 彩车，浮囊，鱼漂\nv. 浮，漂，注满
floating	adj. 浮动的，流动的
flock	n. 群，兽群，短绒\nv. 群集
flog	v. 鞭打，驱使
flood	n. 洪水，大量，水\nv. 淹没，涌到
floor	n. 地板，(楼)层，层，底\nv. 击败
flop	n. 拍，拍击声\nv. 猛击，拍\nadv. 砰地一声
floppy	adj. 松软的
flora	n. 植物群，植物志
floral	adj. 福罗拉的，花的
florid	adj. 红润的，健康的
florist	n. 花商，种花者
flotilla	n. 船队，一队
flotsam	n. 流浪贫民，飘浮残骸
flounce	n. 急动，荷叶边\nv. 断然离开，急动
flounder	n. 挣扎，鲆\nv. 犯错误，挣扎
flour	n. 面粉，粉状物质\nv. 撒粉于，成球
flourish	n. 挥舞，炫耀\nv. 茂盛，兴旺，挥舞，装饰
flout	n. 嘲笑\nv. 藐视
flow	n. 流动，流量\nv. 流动，流出，流
flower	n. 花，盛期，精华\nv. 发育，开花
flowery	adj. 多花的，花的
flu	n. 流感，流行性感冒
fluctuate	v. 波动，起伏，使波动
fluctuation	n. 波动
flue	n. 唇管，滑槽
fluency	n. 流利，流畅
fluent	adj. 流利的，流畅的
fluff	n. 篷松物，绒毛\nv. 念错，起毛
fluid	n. 液体，流体\nadj. 流动的，流体的，易变的
fluke	n. 倒钩，锚爪
flummox	v. 使困惑，失败
flunk	n. 失败\nv. 通不过，失败
fluorine	n. 氟
flurry	n. 混乱，阵风\nv. 慌张，微飘
flush	n. 红晕，冲洗，急流\nv. (脸)发红，发红，涌\nadj. 充裕的，紧接的\nadv. 齐平地，直接地
fluster	n. 慌乱\nv. 使慌张，使醉
flute	n. 长笛，笛子，长形物
flutter	n. 飘动，振翼\nv. 飘动，振翼，振，奔忙
flux	n. 流动，变迁，变动，流\nv. 变化，涌流
fly	n. 苍蝇\nv. 飞，驾机，使飞
flyer	n. 飞鸟，飞行员
flying	adj. 飞的，飞似的
flywheel	n. 飞轮
foal	n. 小雌马\nv. 产
foam	n. 泡沫，大汗\nv. 起泡，冒泡，起泡沫
fob	n. 诡计，表袋\nv. 欺骗，置...于表袋\n(缩)离岸价
focal	adj. 病灶的，焦点的
focus	n. 焦点，中心，焦距\nv. 集中，聚焦
fodder	n. 饲料，弹药，秣\nv. 喂，获得饲料
foe	n. 敌人，宿敌，敌国
fog	n. 雾，翳，模糊\nv. 使困惑，使模糊
foggy	adj. 有雾的，雾蒙蒙的，模糊的，雾的
foghorn	n. 雾角
fogy	n. 守旧者
foible	n. 小缺点
foil	n. 箔，银箔\nv. 衬托，挫败
foist	v. 把...强加，偷偷加进
fold	n. 折痕，教会，褶\nv. 折叠，交叠，收拢
foliage	n. 叶子(总称)，叶，叶饰
folk	n. 人们，乡亲，亲属，各位，家属\nadj. 现代民间音乐的
follow	v. 跟随，听懂，遵循，伴随
follow-up	adj. 后续(的)
